Formula,pbe_band_gap,url
Al2I2S2, 1.76 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e5c
P2Si2, 1.76 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dad
Ge1Te1, 1.76 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c73
Pt4S6Tl2, 1.76 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dd0
Br6Tl2, 1.76 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418af6
S2W1, 1.76 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e03
Bi1Cl1Te1, 1.74 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a5f
Bi2Br2S2, 1.74 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e79
S2Sn1, 1.74 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418df5
N2Si2, 1.74 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d4f
Ga2Se2, 1.73 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c65
Ga2O2, 1.73 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c60
As2S6Sn1Tl2, 1.73 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a33
Cl2Ni1, 1.72 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ba3
In2S2, 1.72 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d18
Br2Hg1, 1.71 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a93
O2Zr1, 1.70 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d9e
Ni1O2, 1.69 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d63
Cl2Rh2Te2, 1.68 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f6e
Bi2I2S2, 1.67 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e81
Ge1Te1, 1.66 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c74
O1Pb1, 1.65 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d71
S1Se1W1, 1.65 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418def
Ag1In1P2S6, 1.64 eV ,http://www.mathub2d.net//materials/detail/5f476356d5cc1b8bc6418a02
In2S2, 1.64 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d17
Cl6Tl2, 1.64 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bfa
Bi2Br2S2, 1.64 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e78
Br2N2Zr2, 1.64 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a9f
Ag1Bi1P2Se6, 1.63 eV ,http://www.mathub2d.net//materials/detail/5f47631fd5cc1b8bc64189f9
Ag1Bi1P2Se6, 1.63 eV ,http://www.mathub2d.net//materials/detail/5f476328d5cc1b8bc64189fa
Mo1S2, 1.62 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d3c
Br2Ga2S2, 1.61 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e99
As2, 1.60 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a27
Br6Ga2, 1.57 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ad4
I6Rh2, 1.57 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418cfa
Cl4I4Ta2, 1.55 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f84
Pb1Te1, 1.55 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418db9
Bi1I1Te1, 1.55 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a61
Ga2I6, 1.52 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c5c
P2Si2, 1.51 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dae
Mo1S1Se1, 1.51 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d3b
Al2I2Se2, 1.51 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e5d
Cl2Ga2S2, 1.51 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f21
Cl6Mn2, 1.50 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bde
O1Sn1, 1.49 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d72
Se2W1, 1.49 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e26
Al2Br2Se2, 1.49 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e53
O2Ti1, 1.49 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d92
I6Ti2, 1.48 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d04
Br2Ge2N2, 1.48 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e9b
Cl9Mo2Rb3, 1.45 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c05
Ga2Te2, 1.45 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c67
Br6Re2, 1.44 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418aea
Br2S2Sb2, 1.44 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ee7
In2Se2, 1.43 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d1a
Br2Cr2O2, 1.43 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e8b
Co1O2, 1.43 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c10
Cl6Re2, 1.42 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bec
Br4Nb2Se4, 1.42 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418aca
H2Mn1O2, 1.42 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c89
Al1Sb1, 1.41 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a15
Ga2Te2, 1.41 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c68
Hg1I2, 1.40 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ca2
Al2Cl2Se2, 1.40 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e57
I2Zn1, 1.40 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ce2
Mo1Se2, 1.39 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d3f
P2Sn2, 1.39 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418db1
Ge1O2, 1.38 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c6c
In2Te2, 1.37 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d1d
Hf1S2, 1.35 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c94
In2Se2, 1.35 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d19
Ge2P2, 1.35 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c7d
Al2Si2Te6, 1.34 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a21
Br6Re2, 1.34 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ae9
O2W1, 1.33 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d9b
Cl6V2, 1.33 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bfb
Ga2Ni1S4, 1.32 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c5f
Co3O8Ti1, 1.31 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c1e
Ge2N2, 1.31 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c7a
Br2V1, 1.30 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ac1
Al2O2, 1.30 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a1e
Cl2Mo2S2, 1.29 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f3d
P2Sn2, 1.29 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418db0
C1F2Sc2, 1.29 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b0d
Cl6Re2, 1.28 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418beb
Al1As1, 1.27 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a0d
Cl2N2Ti2, 1.27 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f4a
Mn2Se2, 1.26 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d35
Cd1Te1, 1.26 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b83
Pt1Se2, 1.25 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dc9
In2Te2, 1.25 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d1c
Br2Ni1, 1.24 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418aa3
Au2Se2, 1.24 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e72
O2Pb1, 1.24 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d78
Br2In2Se2, 1.24 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418eaa
Br2N2Ti2, 1.23 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ec3
Ge2P2, 1.22 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c7c
Al2Mg1Se4, 1.21 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a1d
Br6Tl2, 1.21 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418af7
C6N8, 1.20 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b75
Cl2O2V2, 1.20 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f61
Cl6Ru2, 1.20 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bef
S2Zr1, 1.19 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e05
Cl6Cr2, 1.19 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bce
As1Ga1, 1.19 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a24
Br4Ir2, 1.19 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418efa
Au1K1Se2, 1.18 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e64
C2O6V1, 1.16 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b6c
Bi2Cl2Se2, 1.16 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e7e
Cl2Ir2O2, 1.16 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f34
Bi2I2Se2, 1.16 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e84
Bi1Cu1P2Se6, 1.15 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a60
C1Cl2Sc2, 1.15 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b04
Bi2Br2Se2, 1.15 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e7a
Bi4Se6, 1.15 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e85
Al2I6, 1.15 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a1c
C1F2Y2, 1.14 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b13
Ge2N2, 1.14 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c79
Co2I6, 1.14 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c18
S2Ti1, 1.13 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dfc
Cr2O6, 1.12 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418fa3
Cr2I6, 1.11 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c2c
Br6V2, 1.10 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418af8
Hf1S2, 1.10 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c95
I6Re2, 1.09 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418cf9
Pd1S2, 1.08 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dbd
Cl6Os2, 1.08 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418be6
C1Cl2Lu2, 1.08 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b03
Cl2In2Se2, 1.08 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f32
Mo1Te2, 1.07 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d41
I2V1, 1.07 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418cdc
In1P1, 1.07 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d13
Cl2Mo2Se2, 1.05 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f3e
Se2Ti1, 1.05 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e1f
Te2W1, 1.04 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e3d
S1Se1Ti1, 1.03 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ded
O1Tl2, 1.03 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d74
C1Hf2O2, 1.02 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b22
Cl2Zr1, 1.02 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bc8
Ge2H2, 1.02 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c78
Bi2Pb1Te4, 1.02 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a6f
I6Tl2, 1.02 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d05
Cl2O2Rh2, 1.01 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f5a
I6In2, 1.00 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ce7
Hg1I2, 1.00 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ca3
Cl2Hf1, 1.00 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b92
Hf2I2N2, 0.99 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c9a
Cl7Nb3Te1, 0.99 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c03
Hf1S1Se1, 0.98 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c93
Br7Nb3S1, 0.98 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b00
Bi2Ge1Te4, 0.98 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a69
Cl2O2Tl2, 0.97 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f60
C1O2Zr2, 0.97 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b31
S2Zr1, 0.96 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e06
Br2Ir2O2, 0.96 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418eac
Bi2Te3, 0.95 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a7c
Bi2Pb1Se4, 0.93 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a6e
Br2Re1, 0.93 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418aad
Bi2S1Te2, 0.93 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a72
B1P1, 0.92 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a55
Bi2O2, 0.91 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a6d
Bi2Se2Te1, 0.91 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a76
H2Si6, 0.90 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c8d
Cl6W2, 0.89 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bfd
Br2O2Tl2, 0.89 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ed8
Hf1Se2, 0.89 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c97
Pd4Se6Tl2, 0.88 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dc6
Bi2Se3, 0.88 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a77
S2Sn1, 0.88 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418df6
Se2Sn1, 0.88 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e19
Cl2O2Ru2, 0.87 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f5b
Bi2Se1Te2, 0.87 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a74
S1Se1Zr1, 0.87 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418df0
Cl2Pt1, 0.86 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bab
Cr1S2, 0.86 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c25
Br2O2Ru2, 0.86 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ed3
Cl4Hf2, 0.86 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f82
Br2Zr1, 0.86 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ac9
Br4Hf2, 0.86 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ef9
Br4Re2, 0.86 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418eff
Br2Hf1, 0.86 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a90
O3Te1, 0.85 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418da0
Cl2Cr2S2, 0.85 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f12
Mo1O2, 0.84 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d39
I7Se1Ta3, 0.82 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d10
Cl2Ru1, 0.82 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bb1
As1In1, 0.81 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a25
O2Sn1, 0.81 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d8d
Br6Cr2, 0.81 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ace
Br2O2Rh2, 0.80 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ed2
Bi2Pb2Se5, 0.80 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a70
Cr1S1Se1, 0.80 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c23
I7Ta3Te1, 0.80 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d11
N1Y1, 0.80 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d49
Br6Os2, 0.80 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ae4
Se2Zr1, 0.79 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e29
I7Nb3Te1, 0.79 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d0f
Cu1In1P2Se6, 0.79 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c31
I2Zr1, 0.78 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ce4
Cl2Ti1, 0.78 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bbd
Hf1I2, 0.77 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c90
O2Sc2, 0.77 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d8b
C1O2Ti2, 0.77 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b2d
I2Re1, 0.76 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418cc6
As1B1, 0.76 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a23
In2P6, 0.76 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d16
Br2Cr2S2, 0.75 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e8c
Te2Ti1, 0.75 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e37
Cl6W2, 0.74 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bfe
Br2Ga2Se2, 0.74 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e9a
Pt4Te6Tl2, 0.74 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dd1
Ge1S2, 0.73 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c6e
Ge2S2, 0.73 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c7e
Cl2O2Os2, 0.72 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f56
S2Sn2, 0.72 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418df7
Cl2Os1, 0.72 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ba6
Pb1S2, 0.71 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418db4
In1Sb1, 0.71 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d14
S2Ti1, 0.70 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dfb
Cr1Se2, 0.70 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c27
In1N1, 0.69 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d12
F2Si2, 0.69 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c42
Cl2Ir2S2, 0.68 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f35
Sb2Te3, 0.66 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e0e
Ir2Se2, 0.66 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d28
Br2Ir2S2, 0.66 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ead
Mo2S2Se2, 0.65 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d45
Bi2S2, 0.65 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a73
Sb2Se2Te1, 0.65 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e0a
Hf1Se2, 0.64 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c96
S2Sc2, 0.64 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418df4
Cd1Ga1In1S4, 0.63 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b7f
Cl2Pd1, 0.63 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ba9
As2Te3, 0.63 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a36
Sb2Se1Te2, 0.62 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e09
Br6Nb2, 0.62 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418adf
Cl2Ga2Se2, 0.61 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f22
Sn2Te2, 0.61 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e31
Pt1Te2, 0.61 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dcb
Cl2N2Pt2, 0.61 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f44
Te2V2, 0.60 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e3b
Cl4Zr2, 0.59 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f92
Br4Zr2, 0.58 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f03
Ge2Te2, 0.58 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c80
Se2V1, 0.58 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e23
S2V1, 0.58 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e00
Ge2Se2, 0.56 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c7f
Se2V2, 0.56 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e24
C1Cr2F2, 0.56 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b06
S2Tl2, 0.56 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dfe
Sc2Se2, 0.55 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e15
H2Sn2, 0.55 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c8e
Cl4Pt2, 0.53 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f8a
Pd1Se2, 0.53 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dbf
In2Se3, 0.52 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d1b
Cr2I2O2, 0.51 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f9f
N2Sn2, 0.51 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d52
Se2Zr1, 0.50 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e28
Cl2Rh2S2, 0.50 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f6c
C18, 0.50 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b02
