Formula,pbe_band_gap,url
Ge1O2, 3.58 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c6b
Br6Sc2, 3.54 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418af1
Cl6Fe1Hf1, 3.54 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bd1
Ba1I2, 3.53 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a5c
Cl2Pb1, 3.51 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ba8
Br6Y2, 3.49 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418afd
Cl4Hg2, 3.47 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f83
C2H2, 3.46 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b4f
Bi2F2O2, 3.45 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a68
As2O8Sb2, 3.42 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e61
Bi2Cl6, 3.37 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a67
Ca1I2, 3.31 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b7b
Br2Cd1, 3.31 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a80
As2Br6, 3.30 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e5f
H2Mg1O2, 3.30 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c84
O2Ti1, 3.27 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d91
As2Br6, 3.24 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a28
Bi2Cl6, 3.21 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a66
Br2Pb1, 3.21 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418aa8
Cd1Cl2, 3.17 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b7e
C16Cl8Ge2H48N4, 3.15 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f07
I6Y2, 3.14 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d0b
C16Cl4Ge2H48I4N4, 3.11 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f06
O2Sn1, 3.10 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d8c
C2F2, 3.09 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b40
Cl2Pb1, 3.07 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ba7
Cl2Er2S2, 3.05 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f19
Br6Sm2, 3.04 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f04
Br2Lu2S2, 3.03 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418eaf
Br6Sc2, 3.00 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418af2
Bi2Br6, 2.99 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a63
Cl6Fe1Zr1, 2.98 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bd2
Ca1I4Pb1, 2.98 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f09
Cl2Ge1, 2.97 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b8f
I2Mg1, 2.96 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418cb5
Br6Sb2, 2.95 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418aef
Cl6In2, 2.94 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bd9
Br6In2, 2.94 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ad8
Br2Dy2S2, 2.93 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e92
Cl4Ge2, 2.92 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f81
Al1N1, 2.91 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a13
Al1N1, 2.90 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a14
Cl4Sn2, 2.89 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f8c
Cl2V1, 2.88 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bc0
Al2H2O4, 2.87 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e59
Br2Ga2O2, 2.86 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e98
Br6Ga2, 2.86 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ad3
Br2Zn1, 2.82 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ac7
Dy2I2S2, 2.80 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418fad
Cl2Sn1, 2.76 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bb6
Br2Pb1, 2.75 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418aa7
Se1Yb1, 2.75 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e18
Bi2Br6, 2.74 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a64
O6Sb2Tl2, 2.74 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418da1
Cl2In2O2, 2.73 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f30
Br2V1, 2.73 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ac0
Al1P1S4, 2.73 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e4f
B1I3, 2.71 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a53
Bi2Cl2O2, 2.71 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e7c
Cl6Ga2, 2.71 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bd6
I2Pb1, 2.66 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418cc1
I6Y2, 2.65 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d0c
Br2Ge1, 2.65 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a8d
Cl6Ir2, 2.64 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bdc
I6Sc2, 2.63 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d00
Cl2Ge1, 2.63 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b8e
I2S2Sm2, 2.63 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ccc
Cl6Ti2, 2.63 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bf7
H2Mg3O4, 2.62 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c86
O18Te8, 2.61 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d70
Cl6Ti2, 2.61 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bf8
H2Mg4O5, 2.59 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c87
As2Br6, 2.58 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a29
Al2Br6, 2.58 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a17
Br2Cd1, 2.58 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a81
H2Mg5O6, 2.57 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c88
I2V1, 2.57 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418cdb
Bi2I6, 2.56 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a6b
Ga1N1, 2.54 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c58
Br2S2Sc2, 2.54 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ee8
Br2Sn1, 2.54 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ab6
Cl4Mn2, 2.54 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f86
Ga1N1, 2.53 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c59
I2Ti1, 2.52 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418cd6
Cd1I2, 2.51 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b80
Cl6Cr2, 2.51 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bcd
Br6Sb2, 2.51 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418af0
H2Mg2O3, 2.50 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c85
Cl2S2Sc2, 2.49 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f71
Ge1S1, 2.49 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c6d
Cl2F2, 2.48 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f1a
As8S6, 2.45 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e63
Ga2S2, 2.44 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c61
Cl2Hg1, 2.44 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b94
I6Sb2, 2.43 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418cfe
Br4C16Ge2H48I4N4, 2.43 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ef8
Cl2Os1, 2.43 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ba5
I3P1, 2.42 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ce5
Al2I6, 2.42 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a1b
Ag1P2S6Sc1, 2.41 eV ,http://www.mathub2d.net//materials/detail/5f476356d5cc1b8bc6418a03
